
aztec_pride_title;Orgullo Azteca;;;;;;;;;;;;;
aztec_pride_desc;Our nation has struggled during it's first decades of existence. An attempt of expansion from the northern threat was discovered on time and we've successfully supressed violent revolts. Now as we have reached stability it's time to focus on growing culturally and industrially, glory to our fully grown nation!.;;;;;;;;;;;;;
reverse_manifest_destiny_title;Reverse Manifest Destiny;;;;;;;;;;;;;
reverse_manifest_destiny_desc;The americans tried to enforce their doctrine called "Manifest destiny", based on the self-given right to bring civilization from coast to coast, but if civilization means exterminating whole native tribes, are they really civilized americans? Or just some disguised british? We will step foot on their stolen lands, and organize them under our rule, to protect their natives, no matter the race, religion or culture. Although, we will need the help of a strong ally, perhaps, maybe even the biggest ally we might get...;;;;;;;;;;;;;
alliance_with_the_repressors_title;Alliance with the repressors;;;;;;;;;;;;;
alliance_with_the_repressors_desc;Although Great Britain is known for it's numerous conquests troughout history, nowadays they are the world's major superpower. Allying ourselves with them would be a great decision, although this will have a cost: money and some dignity.;;;;;;;;;;;;;
rename_the_louisiana_and_the_northwest_title;Rename the Louisiana and the Northwest;;;;;;;;;;;;;
rename_the_louisiana_and_the_northwest_desc;Now as we liberated the northern territories all the way up to the Missisipi river, it's time to rename this places to more proper names.;;;;;;;;;;;;;
finish_the_reversion_title;Finish the reversion;;;;;;;;;;;;;
finish_the_reversion_desc;Now with the native territories of the north protected, it's time to erase the filthy claims of the americans on our lands.;;;;;;;;;;;;;
finish_the_reversion_csa_title;Free the slaves;;;;;;;;;;;;;
finish_the_reversion_csa_desc;The dixie population on the southern part of our new states is angry because we've abolished slavery since the 1820s, but we are not making any compensations, and we are liberating those poor people as soon as possible.;;;;;;;;;;;;;
finish_the_reversion_fsa_title;Expell the american aristocrats;;;;;;;;;;;;;
finish_the_reversion_fsa_desc;For some reason, the liberals from the Free States of America want to get back their lands, arguing we stole those from them. But they are clearly better on our hands, and the FSA is not powerful enough to either fight for them or negotiate for them.;;;;;;;;;;;;;
claim_oregon_title;Claim Oregon Country;;;;;;;;;;;;;
claim_oregon_desc;The americans negotiated with the british the cession of the Oregon territory so they could have acces to the Pacific Ocean, we must hurry and seize these lands to us to prevent them from getting powerful in trade.;;;;;;;;;;;;;
claim_florida_title;Claim Florida;;;;;;;;;;;;;
claim_florida_desc;Florida was a holding of the Spanish Empire, we, as their rightful heirs, have the rights to claim the peninsula, and free their slaves from the sinful dixies.;;;;;;;;;;;;;
royal_equality_title;Royal Equality;;;;;;;;;;;;;
royal_equality_desc;The emperor Maximilian I was given the mexican throne by the mexican conservatives. Little did they knowthat Maximilian's ideologies were actually pretty much liberal, and now with the throne in his power, he can impose a series of reforms to make this the mexican new identity.;;;;;;;;;;;;;
bye_texcal_title;What is an Austin or a William;;;;;;;;;;;;;
